"id","date","tweet","insult_1","target_1","insult_2","target_2","insult_3","target_3","insult_4","target_4","insult_5","target_5","insult_6","target_6"
"1844",2017-10-10,"With Jemele Hill at the mike, it is no wonder ESPN ratings have ""tanked,"" in fact, tanked so badly it is the talk of the industry!","With Jemele Hill at the mike, it is no wonder ESPN ratings have 'tanked,' in fact, tanked so badly it is the talk of the industry!","jemele-hill","it is no wonder ESPN ratings have 'tanked,' in fact, tanked so badly it is the talk of the industry!","espn",NA,NA,NA,NA,NA,NA,NA,NA
"1845",2017-10-11,"..fired. This story is totally made up by the dishonest media.The Chief is doing a FANTASTIC job for me and, more importantly, for the USA!","story is totally made up","the-media","dishonest","the-media",NA,NA,NA,NA,NA,NA,NA,NA
"1846",2017-10-11,"Fake @NBCNews made up a story that I wanted a ""tenfold"" increase in our U.S. nuclear arsenal. Pure fiction, made up to demean. NBC = CNN!","Fake","nbc-news","made up a story","nbc-news","Pure fiction, made up to demean","nbc-news","NBC = CNN!","nbc-news",NA,NA,NA,NA
"1847",2017-10-11,"It would be really nice if the Fake News Media would report the virtually unprecedented Stock Market growth since the election.Need tax cuts","Fake News","the-media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1848",2017-10-11,"The Democrats want MASSIVE tax increases & soft, crime producing borders.The Republicans want the biggest tax cut in history & the WALL!","want MASSIVE tax increases & soft, crime producing borders","democrats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1849",2017-10-11,"The Fake News is at it again, this time trying to hurt one of the finest people I know, General John Kelly, by saying he will soon be.....","Fake News","the-media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1850",2017-10-11,"With all of the Fake News coming out of NBC and the Networks, at what point is it appropriate to challenge their License? Bad for country!","Fake News","nbc-news","at what point is it appropriate to challenge their License?","nbc-news","Bad for country!","nbc-news",NA,NA,NA,NA,NA,NA
"1851",2017-10-12,"..accountability say the Governor. Electric and all infrastructure was disaster before hurricanes. Congress to decide how much to spend....","disaster before hurricanes","puerto-rico-infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1852",2017-10-12,"Network news has become so partisan, distorted and fake that licenses must be challenged and, if appropriate, revoked. Not fair to public!","has become so partisan, distorted and fake","the-media","licenses must be challenged and, if appropriate, revoked","the-media",NA,NA,NA,NA,NA,NA,NA,NA
"1853",2017-10-12,"The Fake News Is going all out in order to demean and denigrate! Such hatred!","going all out in order to demean and denigrate!","the-media","Such hatred!","the-media",NA,NA,NA,NA,NA,NA,NA,NA
"1854",2017-10-13,"Hard to believe that the Democrats, who have gone so far LEFT that they are no longer recognizable, are fighting so hard for Sanctuary crime","have gone so far LEFT that they are no longer recognizable","democrats","fighting so hard for Sanctuary crime","democrats",NA,NA,NA,NA,NA,NA,NA,NA
"1855",2017-10-13,"ObamaCare is a broken mess. Piece by piece we will now begin the process of giving America the great HealthCare it deserves!","a broken mess","obamacare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1856",2017-10-13,"People are just now starting to find out how dishonest and disgusting (FakeNews) @NBCNews is. Viewers beware. May be worse than even @CNN!","dishonest","nbc-news","disgusting","nbc-news","FakeNews","nbc-news","Viewers beware","nbc-news","May be worse than even @CNN!","nbc-news",NA,NA
"1857",2017-10-13,"Sadly, they and others are Fake News, and the public is just beginning to figure it out! https://t.co/8B8AyA7V1s","Fake News","the-media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1858",2017-10-13,"The Democrats ObamaCare is imploding. Massive subsidy payments to their pet insurance companies has stopped. Dems should call me to fix!","imploding","obamacare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1859",2017-10-14,"ObamaCare is causing such grief and tragedy for so many. It is being dismantled but in the meantime, premiums & deductibles are way up!","causing such grief and tragedy for so many","obamacare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1860",2017-10-15,"The Failing @nytimes, in a story by Peter Baker, should have mentioned the rapid terminations by me of TPP & The Paris Accord & the fast....","Failing","the-new-york-times",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1861",2017-10-16,"I was recently asked if Crooked Hillary Clinton is going to run in 2020? My answer was, ""I hope so!""","Crooked","hillary-clinton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1862",2017-10-16,"The Democrats only want to increase taxes and obstruct. That's all they are good at!","only want to increase taxes and obstruct","democrats","That's all they are good at!","democrats",NA,NA,NA,NA,NA,NA,NA,NA
"1863",2017-10-17,"Any increase in ObamaCare premiums is the fault of the Democrats for giving us a ""product"" that never had a chance of working.","a 'product' that never had a chance of working","obamacare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1864",2017-10-17,"So much Fake News being put in dying magazines and newspapers. Only place worse may be @NBCNews, @CBSNews, @ABC and @CNN. Fiction writers!","Fiction writers!","abc-news","Fiction writers!","cbs","Fiction writers!","nbc-news","Fiction writers!","cnn","Fake News","the-media","Fiction writers!","the-media"
"1865",2017-10-18,"@NFL: Too much talk, not enough action. Stand for the National Anthem.","Too much talk, not enough action.","nfl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1866",2017-10-18,"As it has turned out, James Comey lied and leaked and totally protected Hillary Clinton. He was the best thing that ever happened to her!","lied and leaked and totally protected Hillary Clinton","james-comey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1867",2017-10-18,"Democrat Congresswoman totally fabricated what I said to the wife of a soldier who died in action (and I have proof). Sad!","totally fabricated what I said to the wife of a soldier who died in action (and I have proof)","frederica-wilson","Sad!","frederica-wilson",NA,NA,NA,NA,NA,NA,NA,NA
"1868",2017-10-18,"The Democrats will only vote for Tax Increases. Hopefully, all Senate Republicans will vote for the largest Tax Cuts in U.S. history.","will only vote for Tax Increases","democrats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1869",2017-10-18,"The NFL has decided that it will not force players to stand for the playing of our National Anthem. Total disrespect for our great country!","Total disrespect for our great country!","kneeling-nfl-players",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1870",2017-10-18,"Wow, FBI confirms report that James Comey drafted letter exonerating Crooked Hillary Clinton long before investigation was complete. Many..","Crooked","hillary-clinton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1871",2017-10-19,"Uranium deal to Russia, with Clinton help and Obama Administration knowledge, is the biggest story that Fake Media doesn't want to follow!","Fake","the-media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1872",2017-10-20,"The Fake News is going crazy with wacky Congresswoman Wilson(D), who was SECRETLY on a very personal call, and gave a total lie on content!","wacky","frederica-wilson","SECRETLY on a very personal call","frederica-wilson","gave a total lie","frederica-wilson","Fake News","the-media","going crazy","the-media",NA,NA
"1873",2017-10-21,"Crooked Hillary Clinton spent hundreds of millions of dollars more on Presidential Election than I did. Facebook was on her side, not mine!","Crooked","hillary-clinton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1874",2017-10-21,"I hope the Fake News Media keeps talking about Wacky Congresswoman Wilson in that she, as a representative, is killing the Democrat Party!","Wacky","frederica-wilson","killing the Democrat Party!","frederica-wilson","Fake News","the-media",NA,NA,NA,NA,NA,NA
"1875",2017-10-21,"Keep hearing about ""tiny"" amount of money spent on Facebook ads. What about the billions of dollars of Fake News on CNN, ABC, NBC & CBS?","Fake News","the-media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1876",2017-10-21,"Stock Market hits another all time high on Friday. 5.3 trillion dollars up since Election. Fake News doesn't spent much time on this!","Fake News","the-media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1877",2017-10-22,"It is finally sinking through. 46% OF PEOPLE BELIEVE MAJOR NATIONAL NEWS ORGS FABRICATE STORIES ABOUT ME. FAKE NEWS, even worse! Lost cred.","FABRICATE STORIES ABOUT ME","the-media","FAKE NEWS","the-media","Lost cred","the-media",NA,NA,NA,NA,NA,NA
"1878",2017-10-22,"Wacky Congresswoman Wilson is the gift that keeps on giving for the Republican Party, a disaster for Dems. You watch her in action & vote R!","Wacky","frederica-wilson","the gift that keeps on giving for the Republican Party","frederica-wilson","a disaster for Dems","frederica-wilson","You watch her in action & vote R!","frederica-wilson",NA,NA,NA,NA
"1879",2017-10-23,"Two dozen NFL players continue to kneel during the National Anthem, showing total disrespect to our Flag & Country. No leadership in NFL!","showing total disrespect to our Flag & Country","kneeling-nfl-players","No leadership in NFL!","kneeling-nfl-players",NA,NA,NA,NA,NA,NA,NA,NA
"1880",2017-10-24,"..Corker dropped out of the race in Tennesse when I refused to endorse him, and now is only negative on anything Trump. Look at his record!","dropped out of the race in Tennesse when I refused to endorse him","bob-corker","now is only negative on anything Trump","bob-corker",NA,NA,NA,NA,NA,NA,NA,NA
"1881",2017-10-24,"..the entire World WAS laughing and taking advantage of us. People like liddle' Bob Corker have set the U.S. way back. Now we move forward!","liddle' Bob Corker","bob-corker","set the U.S. way back","bob-corker",NA,NA,NA,NA,NA,NA,NA,NA
"1882",2017-10-24,"Bob Corker, who helped President O give us the bad Iran Deal & couldn't get elected dog catcher in Tennessee, is now fighting Tax Cuts....","helped President O give us the bad Iran Deal","bob-corker","couldn't get elected dog catcher in Tennessee","bob-corker",NA,NA,NA,NA,NA,NA,NA,NA
"1883",2017-10-24,"Isn't it sad that lightweight Senator Bob Corker, who couldn't get re-elected in the Great State of Tennessee, will now fight Tax Cuts plus!","sad","bob-corker","lightweight","bob-corker",NA,NA,NA,NA,NA,NA,NA,NA
"1884",2017-10-24,"Sen. Corker is the incompetent head of the Foreign Relations Committee, & look how poorly the U.S. has done. He doesn't have a clue as.....","incompetent","bob-corker","doesn't have a clue","bob-corker",NA,NA,NA,NA,NA,NA,NA,NA
"1885",2017-10-25,"The reason Flake and Corker dropped out of the Senate race is very simple, they had zero chance of being elected. Now act so hurt & wounded!","had zero chance of being elected","bob-corker","Now act so hurt & wounded!","bob-corker","had zero chance of being elected","jeff-flake","Now act so hurt & wounded!","jeff-flake",NA,NA,NA,NA
"1886",2017-10-26,"Ed Gillespie will be a great Governor of Virginia. His opponent doesn't even show up to meetings/work, and will be VERY weak on crime!","doesn't even show up to meetings/work","ralph-northam","will be VERY weak on crime!","ralph-northam",NA,NA,NA,NA,NA,NA,NA,NA
"1887",2017-10-27,"Wacky & totally unhinged Tom Steyer, who has been fighting me and my Make America Great Again agenda from beginning, never wins elections!","Wacky","tom-steyer","totally unhinged","tom-steyer","has been fighting me and my Make America Great Again agenda from beginning","tom-steyer","never wins elections!","tom-steyer",NA,NA,NA,NA
"1888",2017-10-28,"‘WHAT HAPPENED'  ‘How Team Hillary played the press for fools on Russia' âž¡ï¸https://t.co/GqpIidk017  NOW WE KNOW! https://t.co/SgWL1HZmkI","played the press for fools on Russia","hillary-clinton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1889",2017-10-28,"Just read the nice remarks by President Jimmy Carter about me and how badly I am treated by the press (Fake News). Thank you Mr. President!","Fake News","the-media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
