"id","date","tweet","insult_1","target_1","insult_2","target_2","insult_3","target_3","insult_4","target_4","insult_5","target_5","insult_6","target_6"
"1",2014-10-09,"Can you believe this fool, Dr. Thomas Frieden of CDC, just stated, ""anyone with fever should be asked if they have been in West Africa"" DOPE","fool","thomas-frieden","DOPE","thomas-frieden",NA,NA,NA,NA,NA,NA,NA,NA
"2",2015-06-16,"Big time in U.S. today - MAKE AMERICA GREAT AGAIN! Politicians are all talk and no action - they can never bring us back.","all talk and no action","politicians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2015-06-24,"@Neilyoung's song,  ""Rockin' In The Free World "" was just one of 10 songs used as background music. Didn't love it anyway.","didn't love it","rockin-in-the-free-world",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2015-06-24,"For the nonbeliever, here is a photo of @Neilyoung in my office and his $$ request—total hypocrite. http://t.co/Xm4BJvetIa","total hypocrite","neil-young",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2015-06-24,"Politician @SenatorCardin didn't like that I said Baltimore needs jobs & spirit. It's politicians like Cardin that have destroyed Baltimore.","It's politicians like Cardin that have destroyed Baltimore.","ben-cardin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2015-06-25,"@WhoopiGoldberg had better surround herself with better hosts than Nicole Wallace, who doesn't have a clue. The show is close to death!","doesn't have a clue","nicole-wallace","close to death","the-view",NA,NA,NA,NA,NA,NA,NA,NA
"7",2015-06-25,"Governor Rick Scott of Florida did really poorly on television this morning. I hope he is O.K.","did really poorly on television","rick-scott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2015-06-25,"I hear that dopey political pundit, Lawrence O'Donnell, one of the dumber people on television, is about to lose his show-no ratings?Too bad","dopey political pundit","lawrence-o-donnell","one of the dumber people on television","lawrence-o-donnell",NA,NA,NA,NA,NA,NA,NA,NA
"9",2015-06-25,"Just out, the new nationwide @FoxNews poll has me alone in 2nd place, closely behind Jeb Bush-but Bush will NEVER Make America Great Again!","will NEVER Make America Great Again","jeb-bush",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015-06-25,"The ratings for The View are really low. Nicole Wallace and Molly Sims are a disaster. Get new cast or just put it to sleep. Dead T.V.","a disaster","molly-sims","a disaster","nicole-wallace","dead T.V.","the-view","put it to sleep","the-view",NA,NA,NA,NA
"11",2015-06-25,"Uncomfortable looking NBC reporter Willie Geist calls me to ask for favors and then mockingly smiles when he is told of my high poll numbers","uncomfortable looking","willie-geist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2015-06-26,"@Univision cares far more about Mexico than it does about the U.S. Are they controlled by the Mexican government?","controlled by Mexican government?","univision",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2015-06-26,"If I win the presidency, my judicial appointments will do the right thing unlike Bush's appointee John Roberts on ObamaCare.","my judicial appointments will do the right thing unlike... Roberts","john-roberts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2015-06-26,"Once again the Bush appointed Supreme Court Justice John Roberts has let us down. Jeb pushed him hard! Remember!","let us down","john-roberts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2015-06-28,"@NYDailyNews, the dying tabloid owned by dopey clown Mort Zuckerman, puts me on the cover daily because I sell. My honor, but it is dead!","dying tabloid","new-york-daily-news","dopey clown","mort-zuckerman","it is dead","new-york-daily-news",NA,NA,NA,NA,NA,NA
"16",2015-06-29,"Saudi Arabia should be paying the United States many billions of dollars for our defense of them. Without us, gone! @AlWaleedbinT","without us, gone!","saudi-arabia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2015-06-30,"I love the Mexican people, but Mexico is not our friend. They're killing us at the border and they're killing us on jobs and trade. FIGHT!","not our friend","mexico","they're killing us","mexico",NA,NA,NA,NA,NA,NA,NA,NA
"18",2015-07-01,"@GovernorPataki couldn't be elected dog catcher if he ran again—so he didn't!","couldn't be elected dog catcher if he ran again","george-pataki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2015-07-01,"@GovernorPataki was a terrible governor of NY, one of the worst -- would've been swamped if he ran again!","terrible governor of NY, one of the worst","george-pataki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2015-07-01,"For all of those who want to #MakeAmericaGreatAgain, boycott @Macys. They are weak on border security & stopping illegal immigration.","weak on border security","macys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2015-07-01,"Interesting that @Macys criticized me but just paid $650,000 in fines for racial profiling. Are they racists?","racists","macys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2015-07-01,"Who is @Macys to pretend innocence when they  ""racial profile "" all over the place? Paid big fine!","they 'racial profile' all over the place","macys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2015-07-02,"@Macys stock just dropped. Interesting. So many people calling to say they are cutting up their @Macys credit card. Thank you!","Macy's stock just dropped","macys","so many people calling to say they are cutting up their Macy's credit card","macys",NA,NA,NA,NA,NA,NA,NA,NA
"24",2015-07-02,"Obama once again just missed a self-imposed deadline with Iran. Our leadership is weak & ineffective. Double the sanctions!","weak & ineffective","barack-obama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2015-07-02,"Why doesn't somebody study the horrible charges brought against @Macys for racial profiling? Terrible hypocrites!","terrible hypocrites","macys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2015-07-03,"@TheJuanWilliams you never speak well of me & yet when I saw you at Fox you ran over like a child and wanted a picture. Please share pic!","you never speak well of me & yet when I saw you at Fox you ran over like a child and wanted a picture","juan-williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2015-07-03,"Our Southern border is totally out of control. This is an absolutely disgraceful. situation.http://t.co/ujz3jENIYo We need border security!","totally out of control","southern-border","absolutely disgraceful","southern-border",NA,NA,NA,NA,NA,NA,NA,NA
"28",2015-07-05,"Flashback – Jeb Bush says illegal immigrants breaking our laws is an  ""act of love "" http://t.co/p8yFzVuw8w He will never secure the border.","will never secure the border","jeb-bush",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2015-07-05,"Miss Universe, Paulina Vega, criticized me for telling the truth about illegal immigration, but then said she would keep the crown-Hypocrite","hypocrite","paulina-vega",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2015-07-05,"Rick Perry failed at the border. Now he is critical of me. He needs a new pair of glasses to see the crimes committed by illegal immigrants.","failed at the border","rick-perry","needs a new pair of glasses","rick-perry",NA,NA,NA,NA,NA,NA,NA,NA
"31",2015-07-07,"@AnnCoulter U were great last nite @ericbolling on FOX. Our country has become a dumping ground for the world--I'll get it to stop & fast!","has become a dumping ground for the world","united-states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2015-07-07,"Wow! I hear that thousands of people are cutting up their @Macys credit card. That's great. #MakeAmericaGreatAgain!","Wow! I hear that thousands of people are cutting up their Macy's credit card","macys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2015-07-09,"Do you believe that highly overrated political pundit @krauthammer said this is the best Republican field in 35 years. What a dope!","a dope","charles-krauthammer","highly overrated","charles-krauthammer",NA,NA,NA,NA,NA,NA,NA,NA
"34",2015-07-09,"Dummy @Clare_OC @Forbes: Tiny fragrance deal with Parlux means nothing. Still sold at Trump Tower...","dummy","clare-o-connor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2015-07-09,"Dummy @Clare_OC from failing @Forbes magazine: NASCAR deal was 1 nite ballroom, ESPN was small golf outing...","dummy","clare-o-connor","failing","forbes",NA,NA,NA,NA,NA,NA,NA,NA
"36",2015-07-09,"Dummy writer @Clare_OC from failing @Forbes magazine works so hard to make such trivial license deals look important…","dummy writer","clare-o-connor","failing","forbes",NA,NA,NA,NA,NA,NA,NA,NA
"37",2015-07-09,"Jeb's brother George insisted on a $100,000 fee and $20,000 for a private jet to speak at a charity for severely wounded vets. Not nice!","not nice!","george-w-bush",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2015-07-09,"Obama and Republicans are hollowing out our military. Now want to cut troop levels. Lowest level in over 20 years.","hollowing out our military","barack-obama","hollowing out our military","republicans",NA,NA,NA,NA,NA,NA,NA,NA
"39",2015-07-09,"Why does a failed magazine like @Forbes constantly seek out trivial nonsense? Their circulation way down. @Clare_OC","failed magazine","forbes","circulation way down","forbes",NA,NA,NA,NA,NA,NA,NA,NA
"40",2015-07-09,"You mean George Bush sends our soldiers into combat, they are severely wounded, and then he wants $120,000 to make a boring speech to them?","wants $120,000 to make a boring speech","george-w-bush",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2015-07-10,"Iran continues to delay the nuclear deal while doing many bad things behind our backs. Time to WALK and double the sanctions. Stop payments!","doing many bad things behind our backs","iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2015-07-10,"Jeb Bush just announced he raised over $100M. Everyone of those people who contributed are getting something to the detriment of America!","everyone of those people who contributed are getting something to the detriment of America","jeb-bush-supporters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2015-07-11,"Has anyone seen the financials of @Univision. They are doing really badly. Too much debt and not enough viewers. Need money fast. Funny!","doing really badly","univision","too much debt and not enough viewers","univision","need money fast","univision",NA,NA,NA,NA,NA,NA
"44",2015-07-11,"I love that thousands of people are boycotting @Macys and cutting up credit cards. No guts no glory. This really backfired - love it!","no guts no glory","macys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2015-07-12,"Mexico's biggest drug lord escapes from jail. Unbelievable corruption and USA is paying the price. I told you so!","unbelievable corruption","mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2015-07-12,"Sleep eyes @ChuckTodd is killing Meet The Press. Isn't he pathetic? Love watching him fail!","love watching him fail","chuck-todd","killing Meet the Press","chuck-todd","pathetic","chuck-todd",NA,NA,NA,NA,NA,NA
"47",2015-07-13,"...likewise, billions of dollars gets brought into Mexico through the border. We get the killers, drugs & crime, they get the money!","we get the killers, drugs & crime, they get the money!","mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2015-07-13,"I hear that sleepy eyes @chucktodd will be fired like a dog from ratings starved Meet The Press? I can't imagine what is taking so long!","sleepy eyes","chuck-todd","will be fired like a dog","chuck-todd","ratings starved","meet-the-press",NA,NA,NA,NA,NA,NA
"49",2015-07-13,"Mexico's totally corrupt gov't looks horrible with El Chapo's escape—totally corrupt. U.S. paid them $3 billion.","totally corrupt gov't","mexico","totally corrupt","mexico",NA,NA,NA,NA,NA,NA,NA,NA
"50",2015-07-14,"Matt Harvey @Mets -- Don't let the @NYDailyNews get you down---nobody reads it. Play well.","nobody reads it","new-york-daily-news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2015-07-15,"@FoxNews should not put @KarlRove on—he has no credibility, a bush plant who called all races wrong.","has no credibility","karl-rove","a bush plant who called all races wrong","karl-rove",NA,NA,NA,NA,NA,NA,NA,NA
"52",2015-07-15,"Why do people listen to clown @KarlRove on @FoxNews? Spent $430M & lost all races—a Bushy!","clown","karl-rove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2015-07-16,"@FoxNews You shouldn't have @KarlRove on the air—he's a clown with zero credibility—a Bushy!","a clown with zero credibility","karl-rove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2015-07-16,"@GovernorPerry failed on the border. He should be forced to take an IQ test before being allowed to enter the GOP debate.","failed on the border","rick-perry","should be forced to take an IQ test","rick-perry",NA,NA,NA,NA,NA,NA,NA,NA
"55",2015-07-16,"@GovernorPerry just gave a pollster quote on me. He doesn't understand what the word demagoguery means.","doesn't understand what the word demagoguery means","rick-perry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2015-07-16,"@KarlRove wasted $400 million + and didn't win one race—a total loser. @FoxNews","wasted $400 million","karl-rove","didn't win one race","karl-rove","total loser","karl-rove",NA,NA,NA,NA,NA,NA
"57",2015-07-16,"@SenJohnMcCain should be defeated in the primaries. Graduated last in his class at Annapolis--dummy!","dummy","john-mccain","graduated last in his class","john-mccain","should be defeated in the primaries","john-mccain",NA,NA,NA,NA,NA,NA
"58",2015-07-16,"Dopey @Lawrence O'Donnell, whose unwatchable show is dying in the ratings, said that my Apprentice $ numbers were wrong. He is a fool!","a fool","lawrence-o-donnell","dopey","lawrence-o-donnell","unwatchable","the-last-word-with-lawrence-o-donnell",NA,NA,NA,NA,NA,NA
"59",2015-07-16,"I hear @pennjillette show on Broadway is terrible. Not surprised, boring guy (Penn). Without The Apprentice, show would have died long ago.","boring guy","penn-jillette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2015-07-16,"I hope the boycott of @Macys continues forever. So many people are cutting up their cards. Macy's stores suck and they are bad for U.S.A.","Macy's stores suck and they are bad for U.S.A.","macys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2015-07-16,"I loved firing goofball atheist Penn @pennjillette on The Apprentice. He never had a chance. Wrote letter to me begging for forgiveness.","goofball atheist","penn-jillette","never had a chance","penn-jillette","wrote letter to me begging for forgiveness","penn-jillette",NA,NA,NA,NA,NA,NA
"62",2015-07-16,"Irrelevant clown @KarlRove sweats and shakes nervously on @FoxNews as he talks ""bull"" about me. Has zero cred. Made fool of himself in '12.","irrelevant clown, sweats and shakes nervously","karl-rove","has zero cred","karl-rove","made fool of himself in '12","karl-rove",NA,NA,NA,NA,NA,NA
"63",2015-07-16,"No deal is better than a bad deal. America out negotiated again. #Iran","out negotiated again","united-states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2015-07-16,"The Iran deal poses a direct national security threat. It must be stopped in Congress. Stand up Republicans!","poses a direct national security threat","iran-deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2015-07-16,"The worst show in Las Vegas, in my opinion, is @pennjillette. Hokey garbage. New York show even worse!","worst show in Las Vegas","penn-jillette","hokey garbage","penn-jillette",NA,NA,NA,NA,NA,NA,NA,NA
"66",2015-07-18,"...John McCain has failed miserably to fix the situation and to make it possible for Veterans to successfully manage their lives.","has failed miserably","john-mccain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2015-07-18,"All he does is go on television is talk, talk, talk, but incapable of doing anything.","All he does is go on television is talk, talk, talk","john-mccain","incapable of doing anything.","john-mccain",NA,NA,NA,NA,NA,NA,NA,NA
"68",2015-07-18,"In addition to doing a lousy job in taking care of our Vets, John McCain let us down by losing to Barack Obama in his run for President!","doing a lousy job in taking care of our Vets","john-mccain","let us down","john-mccain",NA,NA,NA,NA,NA,NA,NA,NA
"69",2015-07-18,"It's driving @ariannahuff & the money losing @HuffingtonPost post crazy that I am #1 in their poll and they only write bad stories about me!","money-losing","huffington-post","they only write bad stories about me!","huffington-post",NA,NA,NA,NA,NA,NA,NA,NA
"70",2015-07-18,"One of the reasons I am no fan of John McCain is that our Vets are being treated so badly by him and the politicians. I will fix VA quickly.","I am no fan","john-mccain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2015-07-18,"Ratings starved @CNN and @CNNPolitics does not cover me accurately. Why can't they get it right - it's really not that hard!","ratings starved","cnn","does not cover me accurately","cnn","why can't they get it right","cnn",NA,NA,NA,NA,NA,NA
"72",2015-07-18,"The $10 billion (net worth) is AFTER all debt and liabilities. So simple to understand but @CNN & @CNNPolitics is just plain dumb!","just plain dumb!","cnn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2015-07-18,"The liberal clown @ariannahuff told her minions at the money losing @HuffingtonPost to cover me as enterainment. I am #1 in Huff Post Poll.","liberal clown","arianna-huffington","money losing","huffington-post",NA,NA,NA,NA,NA,NA,NA,NA
"74",2015-07-18,"Why would anybody listen to @MittRomney? He lost an election that should have easily been won against Obama. By the way,so did John McCain!","why would anybody listen to @MittRomney?","mitt-romney","lost an election that should have easily been won","mitt-romney",NA,NA,NA,NA,NA,NA,NA,NA
"75",2015-07-19,"The Veterans Administration is in shambles and our veterans are suffering greatly. John McCain has done nothing to help them but talk.","has done nothing","john-mccain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",2015-07-20,"Look how small the pages have become @WSJ. Looks like a tabloid—saving money I assume!","looks like a tabloid","wall-street-journal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2015-07-20,"The ever dwindling @WSJ which is worth about 1/10 of what it was purchased for, is always hitting me politically. Who cares!","ever-dwindling","wall-street-journal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",2015-07-20,"We will soon be at a point with our incompetent politicians where we will be treating illegal immigrants better than our veterans.","incompetent","politicians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2015-07-21,"@BreitbartNews is much smarter than sleepy eyes @chucktodd @nbc http://t.co/Lb3PBlN3u0 Thanks to Steve Bannon & real reporters.","sleepy eyes","chuck-todd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2015-07-21,"My response to the failing Des Moines Register, the ultra liberal paper that has no power in Iowa https://t.co/4bEAW1sDzU","failing","des-moines-register","ultra liberal","des-moines-register","has no power in Iowa","des-moines-register",NA,NA,NA,NA,NA,NA
"81",2015-07-21,"Rick Perry did an absolutely horrible job of securing the border. He should be ashamed of himself. Gov. Abbott has since been terrific.","did an absolutely horrible job of securing the border","rick-perry","should be ashamed of himself","rick-perry",NA,NA,NA,NA,NA,NA,NA,NA
"82",2015-07-22,"I hear a failing New York newspaper is going to publish one of my old cell phone numbers. So original - just one of many!","failing","???",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",2015-07-23,"@AC360 Has the absolutely worst anti-Trump talking heads on his show. Dopey writer O'brian knows nothing about me or my wealth. A waste!","a waste","anderson-cooper-360","Has the absolutely worst anti-Trump talking heads on his show","anderson-cooper","dopey writer","tim-o-brien",NA,NA,NA,NA,NA,NA
"84",2015-07-23,"@BillKristol Bill, your small and slightly failing magazine will be a giant success when you finally back Trump. Country will soar!","small and slightly failing magazine","weekly-standard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",2015-07-23,"@FrankLuntz knows nothing about me or my religion. Came to my office looking for work. I had NO interest. I will save the vets!","knows nothing about me or my religion","frank-luntz","came to my office looking for work","frank-luntz",NA,NA,NA,NA,NA,NA,NA,NA
"86",2015-07-23,"Boycott @Macys, no guts, no glory. Besides, there are far better stores!","no guts, no glory","macys","there are far better stores","macys",NA,NA,NA,NA,NA,NA,NA,NA
"87",2015-07-23,"What a waste of time being interviewed by @andersoncooper when he puts on really stupid talking heads likeTim O'Brien-dumb guy with no clue!","dumb guy with no clue","tim-o-brien","really stupid talking head","tim-o-brien",NA,NA,NA,NA,NA,NA,NA,NA
"88",2015-07-24,"When will anyone be held accountable for the VA scandal? The politicians are experts in never facing any consequence.","experts in never facing any consequence","politicians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",2015-07-24,"You're just not getting there @DanaPerino. Sometimes things just don't work out, but don't worry--- no problem!","just not getting there","dana-perino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",2015-07-25,"@Macy's is a big contributor to @PPFA . Anybody against Planned Parenthood should boycott racial profiling Macy's.","racial profiling","macys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",2015-07-25,"@ScottWalker despite your coming to my office to give me an award, your very dumb fundraiser hit me very hard--- not smart!","not smart","scott-walker","your very dumb fundraiser hit me very hard--- not smart!","scott-walker",NA,NA,NA,NA,NA,NA,NA,NA
"92",2015-07-25,"Isn't it funny that I am now #1 in the money losing @HuffingtonPost (poll), and by a big margin. Dummy @ariannahuff must be thrilled!","money-losing","huffington-post","dummy","arianna-huffington",NA,NA,NA,NA,NA,NA,NA,NA
"93",2015-07-25,"The ultra liberal and seriously failing Des Moines Register is BEGGING my team for press credentials to my event in Iowa today-but they lie!","ultra liberal","des-moines-register","seriously failing","des-moines-register","they lie","des-moines-register",NA,NA,NA,NA,NA,NA
"94",2015-07-26,"@ScottWalker is a nice guy, but not presidential material. Wisconsin is in turmoil, borrowing to the hilt, and doing poorly in jobs etc.","not presidential material","scott-walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",2015-07-27,"@GovernorSununu who couldn't get elected dog catcher in NH forgot to mention my phenomenal biz success rate: 99.2% https://t.co/WsA3Jnjhwa","couldn't get elected dog catcher","john-sununu","forgot to mention my phenomenal biz success rate","john-sununu",NA,NA,NA,NA,NA,NA,NA,NA
"96",2015-07-27,"@SteveRattner While I think you should have gone to prison for what you did, I guess Obama saved you. But watch – I will win!","should have gone to prison","steve-rattner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",2015-07-27,"Boston's Mayor Walsh wasted a lot of time and money on going for the Olympics, and then he gave up. I don't want him negotiating for me!","wasted a lot of time and money","marty-walsh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",2015-07-27,"When people find out how bad a job Scott Walker has done in WI, they won't be voting for him. Massive deficit, bad jobs forecast, a mess.","massive deficit, bad jobs forecast, a mess","scott-walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",2015-07-28,"#IranDeal will go down as one of the dumbest & most dangerous misjudgments ever entered into in history of our country—incompetent leader!","incompetent leader","barack-obama","one of the dumbest & most dangerous misjudgments ever","iran-deal",NA,NA,NA,NA,NA,NA,NA,NA
"100",2015-07-28,"A nation WITHOUT BORDERS is not a nation at all. We must have a wall. The rule of law matters. Jeb just doesn't get it.","just doesn't get it","jeb-bush",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",2015-07-28,"My @FoxNews int. with @seanhannity on Obama being all talk & no action & making America Great Again! http://t.co/RqP6MNnR7h","all talk & no action","barack-obama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",2015-07-29,"@CNN & @CNNPolitics did not say that lawyer Beck lost the case and I got legal fees. Also, she wanted to breast pump in front of me at dep.","she wanted to breast pump in front of me at dep.","elizabeth-beck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2015-07-29,"@CNN Why is somebody (Beck) I beat so soundly all of a sudden an expert on Donald Trump (all over television). She knows nothing about me.","knows nothing about me","elizabeth-beck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",2015-07-29,"CNN & @CNNPolitics Lawyer Elizabeth Beck did a terrible job against me, she lost (I even got legal fees). I loved beating her,she was easy","I loved beating her","elizabeth-beck","did a terrible job against me","elizabeth-beck",NA,NA,NA,NA,NA,NA,NA,NA
"105",2015-07-29,"How can a dummy dope like Harry Hurt, who wrote a failed book about me but doesn't know me or anything about me, be on TV discussing Trump?","dummy dope","harry-hurt","wrote a failed book","harry-hurt",NA,NA,NA,NA,NA,NA,NA,NA
"106",2015-07-29,"I truly LOVE all of the millions of people who are sticking with me despite so many media lies. There is a great SILENT MAJORITY looming!","lies","the-media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",2015-07-29,"Lawyer Elizabeth Beck was easy for me to beat. Ask her clients if they are happy with her results against me. Got total win and legal fees.","easy for me to beat","elizabeth-beck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",2015-07-29,"People like lawyer Elizabeth Beck and failed writer Harry Hurt & others talk about me but know nothing about me—crazy!","failed writer","harry-hurt","People like lawyer Elizabeth Beck and failed writer Harry Hurt & others talk about me but know nothing about me","harry-hurt","People like lawyer Elizabeth Beck and failed writer Harry Hurt & others talk about me but know nothing about me","elizabeth-beck",NA,NA,NA,NA,NA,NA
"109",2015-07-29,"So many people who know nothing about me are commenting all over T.V. and the media as though they have great D.J.T. insight. Know NOTHING!","know NOTHING","people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2015-07-29,"Thank you @Morning_Joe for throwing the pathetic reporter from the failing and money losing Daily Beast off the air. Really cool!","failing","daily-beast","money losing","daily-beast",NA,NA,NA,NA,NA,NA,NA,NA
"111",2015-07-29,"This is an outrage! Bias-Free Language Guide claims the word 'American' is 'problematic' -- WHAT?! http://t.co/vKz8a0ICGs","an outrage","bias-free-language-guide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",2015-07-30,"Carl Cameron @FoxNews is the only reporter I know who consistently fumbles & misrepresents poll results. He has been so wrong & he hates it!","consistently fumbles & misrepresents poll results","carl-cameron","has been so wrong & he hates it!","carl-cameron",NA,NA,NA,NA,NA,NA,NA,NA
"113",2015-07-30,"The polls have been consistently great. The silent majority is speaking. Politicians are failing. #MakeAmericaGreatAgain!","failing","politicians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",2015-07-31,"Should not raise taxes in Wisconsin, but massive budget deficit. Education, roads, etc suffering. @DanHenninger lies. @WSJ","lies","dan-henninger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",2015-08-02,"I wish good luck to all of the Republican candidates that traveled to California to beg for money etc. from the Koch Brothers. Puppets?","beg for money etc. from the Koch Brothers","republican-candidates","puppets","republican-candidates",NA,NA,NA,NA,NA,NA,NA,NA
"116",2015-08-03,"Despite the false @nytimes story about Jeb Bush being happy with the Trump surge, he fell more than anybody & is miserable.","is miserable","jeb-bush","false @nytimes story","the-new-york-times","fell more than anybody","jeb-bush",NA,NA,NA,NA,NA,NA
"117",2015-08-07,"...Dopey @krauthammer should be fired. @FoxNews","dopey","charles-krauthammer","should be fired","charles-krauthammer",NA,NA,NA,NA,NA,NA,NA,NA
"118",2015-08-07,"@FoxNews you should be ashamed of yourself. I got you the highest debate ratings in your history & you say nothing but bad...","should be ashamed of yourself","fox-news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",2015-08-07,"@FrankLuntz I won every poll of the debate tonight by massive margins @DRUDGE_REPORT & @TIME so where did you find that dumb panel.","where did you find that dumb panel","frank-luntz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2015-08-07,"@FrankLuntz is a low class slob who came to my office looking for consulting work and I had zero interest. Now he picks anti-Trump panels!","a low-class slob","frank-luntz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",2015-08-07,"@FrankLuntz, your so-called ""focus groups"" are a total joke. Don't come to my office looking for business again. You are a clown!","a clown","frank-luntz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",2015-08-07,"I really enjoyed the debate tonight even though the @FoxNews trio, especially @megynkelly, was not very good or professional!","not very good or professional","fox-news","not very good or professional","megyn-kelly",NA,NA,NA,NA,NA,NA,NA,NA
"123",2015-08-07,"The hatred that clown @krauthammer has for me is unbelievable – causes him to lie when many others say Trump easily won debate.","clown","charles-krauthammer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",2015-08-07,"Wow, @megynkelly really bombed tonight. People are going wild on twitter! Funny to watch.","really bombed tonight","megyn-kelly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",2015-08-08,"Almost universal support that ""Trump won the debate."" Only @FoxNews is consistantly fighting the Trump win, and I got them the ratings!","only Fox News is consistantly fighting the Trump win","fox-news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",2015-08-08,"So many ""politically correct"" fools in our country. We have to all get back to work and stop wasting time and energy on nonsense!","stop wasting time and energy on nonsense","politically-correct-fools",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2015-08-09,"I just realized that if you listen to Carly Fiorina for more than ten minutes straight, you develop a massive headache. She has zero chance!","if you listen to Carly Fiorina for more than ten minutes straight, you develop a massive headache","carly-fiorina","has zero chance","carly-fiorina",NA,NA,NA,NA,NA,NA,NA,NA
